time,latitude,longitude,precip
UTC,degrees_north,degrees_east,mm/day
2013-01-01T00:00:00Z,30.024994,81.82501,8.918001
2013-01-02T00:00:00Z,30.024994,81.82501,0.0
2013-01-03T00:00:00Z,30.024994,81.82501,0.0
2013-01-04T00:00:00Z,30.024994,81.82501,0.0
2013-01-05T00:00:00Z,30.024994,81.82501,0.0
2013-01-06T00:00:00Z,30.024994,81.82501,0.0
2013-01-07T00:00:00Z,30.024994,81.82501,0.0
2013-01-08T00:00:00Z,30.024994,81.82501,0.0
2013-01-09T00:00:00Z,30.024994,81.82501,0.0
2013-01-10T00:00:00Z,30.024994,81.82501,0.0
2013-01-11T00:00:00Z,30.024994,81.82501,0.0
2013-01-12T00:00:00Z,30.024994,81.82501,0.0
2013-01-13T00:00:00Z,30.024994,81.82501,0.0
2013-01-14T00:00:00Z,30.024994,81.82501,0.0
2013-01-15T00:00:00Z,30.024994,81.82501,0.0
2013-01-16T00:00:00Z,30.024994,81.82501,3.2466292
2013-01-17T00:00:00Z,30.024994,81.82501,12.986517
2013-01-18T00:00:00Z,30.024994,81.82501,16.233147
2013-01-19T00:00:00Z,30.024994,81.82501,6.4932585
2013-01-20T00:00:00Z,30.024994,81.82501,0.0
2013-01-21T00:00:00Z,30.024994,81.82501,0.0
2013-01-22T00:00:00Z,30.024994,81.82501,0.0
2013-01-23T00:00:00Z,30.024994,81.82501,0.0
2013-01-24T00:00:00Z,30.024994,81.82501,0.0
2013-01-25T00:00:00Z,30.024994,81.82501,0.0
2013-01-26T00:00:00Z,30.024994,81.82501,0.0
2013-01-27T00:00:00Z,30.024994,81.82501,0.0
2013-01-28T00:00:00Z,30.024994,81.82501,0.0
2013-01-29T00:00:00Z,30.024994,81.82501,0.0
2013-01-30T00:00:00Z,30.024994,81.82501,0.0
2013-01-31T00:00:00Z,30.024994,81.82501,0.0
2013-02-01T00:00:00Z,30.024994,81.82501,0.0
2013-02-02T00:00:00Z,30.024994,81.82501,0.0
2013-02-03T00:00:00Z,30.024994,81.82501,3.709131
2013-02-04T00:00:00Z,30.024994,81.82501,22.254787
2013-02-05T00:00:00Z,30.024994,81.82501,14.836524
2013-02-06T00:00:00Z,30.024994,81.82501,0.0
2013-02-07T00:00:00Z,30.024994,81.82501,0.0
2013-02-08T00:00:00Z,30.024994,81.82501,0.0
2013-02-09T00:00:00Z,30.024994,81.82501,0.0
2013-02-10T00:00:00Z,30.024994,81.82501,0.0
2013-02-11T00:00:00Z,30.024994,81.82501,0.0
2013-02-12T00:00:00Z,30.024994,81.82501,4.063682
2013-02-13T00:00:00Z,30.024994,81.82501,0.0
2013-02-14T00:00:00Z,30.024994,81.82501,0.0
2013-02-15T00:00:00Z,30.024994,81.82501,8.127364
2013-02-16T00:00:00Z,30.024994,81.82501,28.331848
2013-02-17T00:00:00Z,30.024994,81.82501,11.332739
2013-02-18T00:00:00Z,30.024994,81.82501,0.0
2013-02-19T00:00:00Z,30.024994,81.82501,0.0
2013-02-20T00:00:00Z,30.024994,81.82501,0.0
2013-02-21T00:00:00Z,30.024994,81.82501,0.0
2013-02-22T00:00:00Z,30.024994,81.82501,0.0
2013-02-23T00:00:00Z,30.024994,81.82501,10.27201
2013-02-24T00:00:00Z,30.024994,81.82501,0.0
2013-02-25T00:00:00Z,30.024994,81.82501,0.0
2013-02-26T00:00:00Z,30.024994,81.82501,0.0
2013-02-27T00:00:00Z,30.024994,81.82501,0.0
2013-02-28T00:00:00Z,30.024994,81.82501,0.0
2013-03-01T00:00:00Z,30.024994,81.82501,0.0
2013-03-02T00:00:00Z,30.024994,81.82501,0.0
2013-03-03T00:00:00Z,30.024994,81.82501,0.0
2013-03-04T00:00:00Z,30.024994,81.82501,0.0
2013-03-05T00:00:00Z,30.024994,81.82501,0.0
2013-03-06T00:00:00Z,30.024994,81.82501,0.0
2013-03-07T00:00:00Z,30.024994,81.82501,0.0
2013-03-08T00:00:00Z,30.024994,81.82501,0.0
2013-03-09T00:00:00Z,30.024994,81.82501,14.013987
2013-03-10T00:00:00Z,30.024994,81.82501,0.0
2013-03-11T00:00:00Z,30.024994,81.82501,0.0
2013-03-12T00:00:00Z,30.024994,81.82501,0.0
2013-03-13T00:00:00Z,30.024994,81.82501,0.0
2013-03-14T00:00:00Z,30.024994,81.82501,8.846855
2013-03-15T00:00:00Z,30.024994,81.82501,0.0
2013-03-16T00:00:00Z,30.024994,81.82501,0.0
2013-03-17T00:00:00Z,30.024994,81.82501,4.32205
2013-03-18T00:00:00Z,30.024994,81.82501,0.0
2013-03-19T00:00:00Z,30.024994,81.82501,0.0
2013-03-20T00:00:00Z,30.024994,81.82501,12.966151
2013-03-21T00:00:00Z,30.024994,81.82501,0.0
2013-03-22T00:00:00Z,30.024994,81.82501,0.0
2013-03-23T00:00:00Z,30.024994,81.82501,1.3797848
2013-03-24T00:00:00Z,30.024994,81.82501,1.3797848
2013-03-25T00:00:00Z,30.024994,81.82501,0.0
2013-03-26T00:00:00Z,30.024994,81.82501,0.0
2013-03-27T00:00:00Z,30.024994,81.82501,0.0
2013-03-28T00:00:00Z,30.024994,81.82501,0.0
2013-03-29T00:00:00Z,30.024994,81.82501,0.0
2013-03-30T00:00:00Z,30.024994,81.82501,0.0
2013-03-31T00:00:00Z,30.024994,81.82501,0.0
2013-04-01T00:00:00Z,30.024994,81.82501,6.588969
2013-04-02T00:00:00Z,30.024994,81.82501,0.0
2013-04-03T00:00:00Z,30.024994,81.82501,0.0
2013-04-04T00:00:00Z,30.024994,81.82501,0.0
2013-04-05T00:00:00Z,30.024994,81.82501,0.0
2013-04-06T00:00:00Z,30.024994,81.82501,0.0
2013-04-07T00:00:00Z,30.024994,81.82501,0.0
2013-04-08T00:00:00Z,30.024994,81.82501,0.0
2013-04-09T00:00:00Z,30.024994,81.82501,0.0
2013-04-10T00:00:00Z,30.024994,81.82501,0.0
2013-04-11T00:00:00Z,30.024994,81.82501,0.0
2013-04-12T00:00:00Z,30.024994,81.82501,0.0
2013-04-13T00:00:00Z,30.024994,81.82501,6.3185425
2013-04-14T00:00:00Z,30.024994,81.82501,0.0
2013-04-15T00:00:00Z,30.024994,81.82501,0.0
2013-04-16T00:00:00Z,30.024994,81.82501,0.0
2013-04-17T00:00:00Z,30.024994,81.82501,0.0
2013-04-18T00:00:00Z,30.024994,81.82501,0.0
2013-04-19T00:00:00Z,30.024994,81.82501,0.0
2013-04-20T00:00:00Z,30.024994,81.82501,7.2126975
2013-04-21T00:00:00Z,30.024994,81.82501,4.116949
2013-04-22T00:00:00Z,30.024994,81.82501,0.0
2013-04-23T00:00:00Z,30.024994,81.82501,0.0
2013-04-24T00:00:00Z,30.024994,81.82501,0.0
2013-04-25T00:00:00Z,30.024994,81.82501,0.0
2013-04-26T00:00:00Z,30.024994,81.82501,1.4311334
2013-04-27T00:00:00Z,30.024994,81.82501,1.4311334
2013-04-28T00:00:00Z,30.024994,81.82501,0.0
2013-04-29T00:00:00Z,30.024994,81.82501,0.0
2013-04-30T00:00:00Z,30.024994,81.82501,1.4311334
2013-05-01T00:00:00Z,30.024994,81.82501,0.0
2013-05-02T00:00:00Z,30.024994,81.82501,0.0
2013-05-03T00:00:00Z,30.024994,81.82501,0.0
2013-05-04T00:00:00Z,30.024994,81.82501,0.0
2013-05-05T00:00:00Z,30.024994,81.82501,0.0
2013-05-06T00:00:00Z,30.024994,81.82501,3.0641837
2013-05-07T00:00:00Z,30.024994,81.82501,0.0
2013-05-08T00:00:00Z,30.024994,81.82501,0.0
2013-05-09T00:00:00Z,30.024994,81.82501,0.0
2013-05-10T00:00:00Z,30.024994,81.82501,0.0
2013-05-11T00:00:00Z,30.024994,81.82501,0.0
2013-05-12T00:00:00Z,30.024994,81.82501,0.0
2013-05-13T00:00:00Z,30.024994,81.82501,0.0
2013-05-14T00:00:00Z,30.024994,81.82501,0.0
2013-05-15T00:00:00Z,30.024994,81.82501,0.0
2013-05-16T00:00:00Z,30.024994,81.82501,3.4105868
2013-05-17T00:00:00Z,30.024994,81.82501,0.0
2013-05-18T00:00:00Z,30.024994,81.82501,0.0
2013-05-19T00:00:00Z,30.024994,81.82501,0.0
2013-05-20T00:00:00Z,30.024994,81.82501,0.0
2013-05-21T00:00:00Z,30.024994,81.82501,0.0
2013-05-22T00:00:00Z,30.024994,81.82501,0.0
2013-05-23T00:00:00Z,30.024994,81.82501,0.0
2013-05-24T00:00:00Z,30.024994,81.82501,0.0
2013-05-25T00:00:00Z,30.024994,81.82501,4.0990124
2013-05-26T00:00:00Z,30.024994,81.82501,0.0
2013-05-27T00:00:00Z,30.024994,81.82501,0.0
2013-05-28T00:00:00Z,30.024994,81.82501,0.0
2013-05-29T00:00:00Z,30.024994,81.82501,0.0
2013-05-30T00:00:00Z,30.024994,81.82501,0.0
2013-05-31T00:00:00Z,30.024994,81.82501,19.070686
2013-06-01T00:00:00Z,30.024994,81.82501,0.0
2013-06-02T00:00:00Z,30.024994,81.82501,0.0
2013-06-03T00:00:00Z,30.024994,81.82501,0.0
2013-06-04T00:00:00Z,30.024994,81.82501,0.0
2013-06-05T00:00:00Z,30.024994,81.82501,0.0
2013-06-06T00:00:00Z,30.024994,81.82501,0.0
2013-06-07T00:00:00Z,30.024994,81.82501,0.0
2013-06-08T00:00:00Z,30.024994,81.82501,0.0
2013-06-09T00:00:00Z,30.024994,81.82501,0.0
2013-06-10T00:00:00Z,30.024994,81.82501,0.0
2013-06-11T00:00:00Z,30.024994,81.82501,97.715096
2013-06-12T00:00:00Z,30.024994,81.82501,0.0
2013-06-13T00:00:00Z,30.024994,81.82501,0.0
2013-06-14T00:00:00Z,30.024994,81.82501,0.0
2013-06-15T00:00:00Z,30.024994,81.82501,0.0
2013-06-16T00:00:00Z,30.024994,81.82501,0.0
2013-06-17T00:00:00Z,30.024994,81.82501,127.10566
2013-06-18T00:00:00Z,30.024994,81.82501,31.776415
2013-06-19T00:00:00Z,30.024994,81.82501,0.0
2013-06-20T00:00:00Z,30.024994,81.82501,0.0
2013-06-21T00:00:00Z,30.024994,81.82501,0.0
2013-06-22T00:00:00Z,30.024994,81.82501,29.78987
2013-06-23T00:00:00Z,30.024994,81.82501,0.0
