time,latitude,longitude,precip
UTC,degrees_north,degrees_east,mm/day
2013-01-01T00:00:00Z,27.774994,85.32501,0.0
2013-01-02T00:00:00Z,27.774994,85.32501,0.0
2013-01-03T00:00:00Z,27.774994,85.32501,0.0
2013-01-04T00:00:00Z,27.774994,85.32501,0.0
2013-01-05T00:00:00Z,27.774994,85.32501,0.0
2013-01-06T00:00:00Z,27.774994,85.32501,0.0
2013-01-07T00:00:00Z,27.774994,85.32501,0.0
2013-01-08T00:00:00Z,27.774994,85.32501,0.0
2013-01-09T00:00:00Z,27.774994,85.32501,0.0
2013-01-10T00:00:00Z,27.774994,85.32501,0.0
2013-01-11T00:00:00Z,27.774994,85.32501,0.0
2013-01-12T00:00:00Z,27.774994,85.32501,0.0
2013-01-13T00:00:00Z,27.774994,85.32501,0.0
2013-01-14T00:00:00Z,27.774994,85.32501,0.0
2013-01-15T00:00:00Z,27.774994,85.32501,0.0
2013-01-16T00:00:00Z,27.774994,85.32501,0.0
2013-01-17T00:00:00Z,27.774994,85.32501,0.0
2013-01-18T00:00:00Z,27.774994,85.32501,13.01167
2013-01-19T00:00:00Z,27.774994,85.32501,0.0
2013-01-20T00:00:00Z,27.774994,85.32501,0.0
2013-01-21T00:00:00Z,27.774994,85.32501,0.0
2013-01-22T00:00:00Z,27.774994,85.32501,0.0
2013-01-23T00:00:00Z,27.774994,85.32501,0.0
2013-01-24T00:00:00Z,27.774994,85.32501,0.0
2013-01-25T00:00:00Z,27.774994,85.32501,0.0
2013-01-26T00:00:00Z,27.774994,85.32501,0.0
2013-01-27T00:00:00Z,27.774994,85.32501,0.0
2013-01-28T00:00:00Z,27.774994,85.32501,0.0
2013-01-29T00:00:00Z,27.774994,85.32501,0.0
2013-01-30T00:00:00Z,27.774994,85.32501,0.0
2013-01-31T00:00:00Z,27.774994,85.32501,0.0
2013-02-01T00:00:00Z,27.774994,85.32501,0.0
2013-02-02T00:00:00Z,27.774994,85.32501,0.0
2013-02-03T00:00:00Z,27.774994,85.32501,0.0
2013-02-04T00:00:00Z,27.774994,85.32501,0.0
2013-02-05T00:00:00Z,27.774994,85.32501,11.309841
2013-02-06T00:00:00Z,27.774994,85.32501,0.0
2013-02-07T00:00:00Z,27.774994,85.32501,0.0
2013-02-08T00:00:00Z,27.774994,85.32501,0.0
2013-02-09T00:00:00Z,27.774994,85.32501,0.0
2013-02-10T00:00:00Z,27.774994,85.32501,0.0
2013-02-11T00:00:00Z,27.774994,85.32501,0.0
2013-02-12T00:00:00Z,27.774994,85.32501,0.0
2013-02-13T00:00:00Z,27.774994,85.32501,0.0
2013-02-14T00:00:00Z,27.774994,85.32501,0.0
2013-02-15T00:00:00Z,27.774994,85.32501,13.671985
2013-02-16T00:00:00Z,27.774994,85.32501,34.028454
2013-02-17T00:00:00Z,27.774994,85.32501,0.0
2013-02-18T00:00:00Z,27.774994,85.32501,0.0
2013-02-19T00:00:00Z,27.774994,85.32501,0.0
2013-02-20T00:00:00Z,27.774994,85.32501,0.0
2013-02-21T00:00:00Z,27.774994,85.32501,0.0
2013-02-22T00:00:00Z,27.774994,85.32501,0.0
2013-02-23T00:00:00Z,27.774994,85.32501,0.0
2013-02-24T00:00:00Z,27.774994,85.32501,0.0
2013-02-25T00:00:00Z,27.774994,85.32501,0.0
2013-02-26T00:00:00Z,27.774994,85.32501,0.0
2013-02-27T00:00:00Z,27.774994,85.32501,0.0
2013-02-28T00:00:00Z,27.774994,85.32501,0.0
2013-03-01T00:00:00Z,27.774994,85.32501,0.0
2013-03-02T00:00:00Z,27.774994,85.32501,0.0
2013-03-03T00:00:00Z,27.774994,85.32501,0.0
2013-03-04T00:00:00Z,27.774994,85.32501,0.0
2013-03-05T00:00:00Z,27.774994,85.32501,0.0
2013-03-06T00:00:00Z,27.774994,85.32501,13.311319
2013-03-07T00:00:00Z,27.774994,85.32501,0.0
2013-03-08T00:00:00Z,27.774994,85.32501,0.0
2013-03-09T00:00:00Z,27.774994,85.32501,0.0
2013-03-10T00:00:00Z,27.774994,85.32501,0.0
2013-03-11T00:00:00Z,27.774994,85.32501,0.0
2013-03-12T00:00:00Z,27.774994,85.32501,0.0
2013-03-13T00:00:00Z,27.774994,85.32501,0.0
2013-03-14T00:00:00Z,27.774994,85.32501,0.0
2013-03-15T00:00:00Z,27.774994,85.32501,0.0
2013-03-16T00:00:00Z,27.774994,85.32501,0.0
2013-03-17T00:00:00Z,27.774994,85.32501,0.0
2013-03-18T00:00:00Z,27.774994,85.32501,0.0
2013-03-19T00:00:00Z,27.774994,85.32501,0.0
2013-03-20T00:00:00Z,27.774994,85.32501,0.0
2013-03-21T00:00:00Z,27.774994,85.32501,7.421628
2013-03-22T00:00:00Z,27.774994,85.32501,0.0
2013-03-23T00:00:00Z,27.774994,85.32501,0.0
2013-03-24T00:00:00Z,27.774994,85.32501,0.0
2013-03-25T00:00:00Z,27.774994,85.32501,0.0
2013-03-26T00:00:00Z,27.774994,85.32501,0.0
2013-03-27T00:00:00Z,27.774994,85.32501,0.0
2013-03-28T00:00:00Z,27.774994,85.32501,0.0
2013-03-29T00:00:00Z,27.774994,85.32501,0.0
2013-03-30T00:00:00Z,27.774994,85.32501,0.0
2013-03-31T00:00:00Z,27.774994,85.32501,0.0
2013-04-01T00:00:00Z,27.774994,85.32501,0.0
2013-04-02T00:00:00Z,27.774994,85.32501,0.0
2013-04-03T00:00:00Z,27.774994,85.32501,0.0
2013-04-04T00:00:00Z,27.774994,85.32501,0.0
2013-04-05T00:00:00Z,27.774994,85.32501,0.0
2013-04-06T00:00:00Z,27.774994,85.32501,0.0
2013-04-07T00:00:00Z,27.774994,85.32501,0.0
2013-04-08T00:00:00Z,27.774994,85.32501,0.0
2013-04-09T00:00:00Z,27.774994,85.32501,0.0
2013-04-10T00:00:00Z,27.774994,85.32501,0.0
2013-04-11T00:00:00Z,27.774994,85.32501,0.0
